KEPLER_ID,DR16_TEFF_COR,DR16_TEFF_COR_ERR,DR17_TEFF_COR,DR17_TEFF_COR_ERR,APOKASC3_EVSTATE,APOKASC3_SEIS_SOURCE,APOKASC3_SPEC_SOURCE,APOKASC3_MASS,APOKASC3_MASS_ERR,APOKASC3_RADIUS,APOKASC3_RADIUS_ERR,APOKASC3_LOGG,APOKASC3_LOGG_ERR,APOKASC3_TEFF,APOKASC3_TEFF_ERR,APOKASC3_LOGG_SPEC,APOKASC3_LOGG_SPEC_ERR,APOKASC3_M_H,APOKASC3_M_H_ERR,APOKASC3_ALPHA_M,APOKASC3_ALPHA_M_ERR,APOKASC3_CAT_AGE,APOKASC3_AGE_RGB,APOKASC3_AGE_RGB_PERR,APOKASC3_AGE_RGB_MERR,GAIA_TEFF,GAIA_RADIUS,GAIA_LUMINOSITY
11961545,4635.6426,82.59873,4631.7593,7.968363,RGB,WAvg,DR17,0.9787,0.041,8.3543,0.1562,2.5866,0.0042,4631.7593,43.7773,2.5233,0.058,-0.3505,0.058,0.2179,0.022,RGB,10.5088,1.6878,-1.4326,4803.0,7.8747306,29.731478
11966805,4731.912,85.620026,4743.9614,8.555418,RGB,WAvg,DR17,1.2375,0.0476,10.2262,0.1771,2.5121,0.0039,4743.9614,45.3786,2.5199,0.058,-0.3623,0.058,0.0976,0.022,RGB,4.3637,0.4835,-0.3747,4793.8164,10.022817,47.79692
11968334,4789.865,82.3377,4765.037,7.5971246,RGB,WAvg,DR17,1.3192,0.0501,5.647,0.0966,3.0565,0.0038,4765.037,43.639,3.0601,0.058,0.1928,0.058,0.018,0.022,RGB,5.0016,0.5227,-0.4254,4799.6934,5.6606884,15.321003
11968543,4961.4385,104.21864,4982.8257,13.44083,RGB,WAvg,DR17,0.9451,0.0393,5.1917,0.0967,2.9846,0.0046,4982.8257,55.2359,2.8766,0.058,-0.8791,0.058,0.2953,0.127,RGB,8.7514,1.476,-1.2628,5025.6665,5.1518545,15.254449
11970550,4994.875,101.150795,4963.241,11.955411,RGB,WAvg,DR17,1.3248,0.0551,5.6312,0.1049,3.0608,0.0045,4963.241,53.6099,3.106,0.058,-0.1436,0.058,0.0367,0.022,RGB,3.9188,0.459,-0.3868,4943.995,5.734495,17.700977
11971108,4625.343,85.28464,4620.8174,8.331528,RGB,WAvg,DR17,1.0749,0.0442,11.2347,0.2068,2.3666,0.0042,4620.8174,45.2009,2.5983,0.058,-0.0241,0.058,0.0973,0.022,RGB,9.1392,1.4007,-1.1728,4838.447,9.41664,43.78351
11971154,4666.0103,82.85893,4645.5728,7.7700753,RGB,WAvg,DR17,1.2039,0.0504,9.9095,0.1853,2.5277,0.0042,4645.5728,43.9152,2.4906,0.058,-0.0652,0.058,0.008,0.022,RGB,5.6906,0.7936,-0.67,4761.6934,8.999001,37.508434
11971190,4575.722,79.10399,4579.117,7.106628,RGB,WAvg,DR17,1.5146,0.0635,15.5442,0.2909,2.2299,0.0042,4579.117,41.9251,2.2247,0.058,-0.109,0.058,-0.0003,0.022,RGB,2.6473,0.2721,-0.2421,4589.43,15.088192,90.9922
11971940,4588.616,76.18675,4571.037,6.406787,RGB,WAvg,DR17,1.6137,0.0624,10.8686,0.1886,2.5752,0.0038,4571.037,40.379,2.5572,0.058,0.2839,0.058,-0.0129,0.022,RGB,2.7497,0.2429,-0.1981,4537.53,10.974747,46.000404
11972774,4661.1997,85.14125,4669.2583,8.512357,RGB,WAvg,DR17,1.1864,0.0457,8.8258,0.153,2.6225,0.0039,4669.2583,45.1249,2.6299,0.058,-0.0711,0.058,0.0391,0.022,RGB,6.0577,0.6972,-0.6108,4669.64,9.307015,37.106434
11972904,4944.572,95.24934,4921.938,10.5453825,RGB,WAvg,DR17,1.3279,0.0502,5.4993,0.0939,3.0823,0.004,4921.938,50.4822,3.1166,0.058,-0.088,0.058,0.0286,0.022,RGB,4.0427,0.4139,-0.3885,4860.13,5.304033,14.141601
11973569,4652.4136,92.57997,4629.1406,9.855563,RGB,WAvg,DR17,1.2912,0.0498,9.1304,0.1583,2.6298,0.0042,4629.1406,49.0674,2.6589,0.058,0.1032,0.058,0.0192,0.022,RGB,5.1131,0.525,-0.4272,4779.8496,8.132507,31.102877
11973853,5029.3086,91.98636,4988.5117,9.654325,RGB,WAvg,DR17,1.6253,0.0622,5.1688,0.0892,3.224,0.004,4988.5117,48.7528,3.1825,0.058,-0.0905,0.058,0.0156,0.022,RGB,2.1273,0.1854,-0.1554,4964.0503,4.9653945,13.48798
11974612,4682.965,84.74888,4699.1865,8.417117,RGB,WAvg,DR17,1.0649,0.041,9.424,0.1633,2.5179,0.0039,4699.1865,44.9169,2.3451,0.058,-0.436,0.058,0.124,0.022,RGB,7.0201,0.9272,-0.8157,4855.0874,7.8496737,30.845095
